 ID,PARAM,Date,Flow,SYM
02TC003,1,1965/03/01,0,
02TC003,1,1965/03/02,0,
02TC003,1,1965/03/03,0,
02TC003,1,1965/03/04,0,
02TC003,1,1965/03/05,0,
02TC003,1,1965/03/06,0,
02TC003,1,1965/03/07,0,
02TC003,1,1965/03/08,0,
02TC003,1,1965/03/09,0,
02TC003,1,1965/03/10,0,
02TC003,1,1965/03/11,0,
02TC003,1,1965/03/12,0,
02TC003,1,1965/03/13,0,
02TC003,1,1965/03/14,0,
02TC003,1,1965/03/15,0,
02TC003,1,1965/03/16,0,
02TC003,1,1965/03/17,0,
02TC003,1,1965/03/18,0,
02TC003,1,1965/03/19,0,
02TC003,1,1965/03/20,0,
02TC003,1,1965/03/21,0,
02TC003,1,1965/03/22,0,
02TC003,1,1965/03/23,0,
02TC003,1,1965/03/24,0,
02TC003,1,1965/03/25,0,
02TC003,1,1965/03/26,0,
02TC003,1,1965/03/27,0,
02TC003,1,1965/03/28,0,
02TC003,1,1965/03/29,0,
02TC003,1,1965/03/30,0,
02TC003,1,1965/03/31,0,
02TC003,1,1965/04/01,0,
02TC003,1,1965/04/02,0,
02TC003,1,1965/04/03,0,
02TC003,1,1965/04/04,0,
02TC003,1,1965/04/05,0,
02TC003,1,1965/04/06,0,
02TC003,1,1965/04/07,0,
02TC003,1,1965/04/08,0,
02TC003,1,1965/04/09,0,
02TC003,1,1965/04/10,0,
02TC003,1,1965/04/11,0,
02TC003,1,1965/04/12,0,
02TC003,1,1965/04/13,0,
02TC003,1,1965/04/14,0,
02TC003,1,1965/04/15,0,
02TC003,1,1965/04/16,0,
02TC003,1,1965/04/17,0,
02TC003,1,1965/04/18,0,
02TC003,1,1965/04/19,0,
02TC003,1,1965/04/20,0,
02TC003,1,1965/04/21,0,
02TC003,1,1965/04/22,0,
02TC003,1,1965/04/23,0,
02TC003,1,1965/04/24,0,
02TC003,1,1965/04/25,0,
02TC003,1,1965/04/26,0,
02TC003,1,1965/04/27,0,
02TC003,1,1965/04/28,0,
02TC003,1,1965/04/29,0,
02TC003,1,1965/04/30,0,
02TC003,1,1965/05/01,0,
02TC003,1,1965/05/02,0,
02TC003,1,1965/05/03,0,
02TC003,1,1965/05/04,0,
