 ID,PARAM,Date,Flow,SYM
02SB004,1,1964/01/01,97.1,
02SB004,1,1964/01/02,343,
02SB004,1,1964/01/03,439,
02SB004,1,1964/01/04,416,
02SB004,1,1964/01/05,249,
02SB004,1,1964/01/06,405,
02SB004,1,1964/01/07,456,
02SB004,1,1964/01/08,456,
02SB004,1,1964/01/09,481,
02SB004,1,1964/01/10,493,
02SB004,1,1964/01/11,479,
02SB004,1,1964/01/12,258,
02SB004,1,1964/01/13,473,
02SB004,1,1964/01/14,566,
02SB004,1,1964/01/15,498,
02SB004,1,1964/01/16,442,
02SB004,1,1964/01/17,422,
02SB004,1,1964/01/18,343,
02SB004,1,1964/01/19,145,
02SB004,1,1964/01/20,416,
02SB004,1,1964/01/21,413,
02SB004,1,1964/01/22,416,
02SB004,1,1964/01/23,447,
02SB004,1,1964/01/24,447,
02SB004,1,1964/01/25,422,
02SB004,1,1964/01/26,127,
02SB004,1,1964/01/27,408,
02SB004,1,1964/01/28,365,
02SB004,1,1964/01/29,419,
02SB004,1,1964/01/30,377,
02SB004,1,1964/01/31,413,
02SB004,1,1964/02/01,314,
02SB004,1,1964/02/02,208,
02SB004,1,1964/02/03,433,
02SB004,1,1964/02/04,374,
02SB004,1,1964/02/05,354,
02SB004,1,1964/02/06,402,
02SB004,1,1964/02/07,388,
02SB004,1,1964/02/08,354,
02SB004,1,1964/02/09,238,
02SB004,1,1964/02/10,450,
02SB004,1,1964/02/11,405,
02SB004,1,1964/02/12,360,
02SB004,1,1964/02/13,408,
02SB004,1,1964/02/14,357,
02SB004,1,1964/02/15,348,
02SB004,1,1964/02/16,196,
02SB004,1,1964/02/17,459,
02SB004,1,1964/02/18,399,
02SB004,1,1964/02/19,394,
02SB004,1,1964/02/20,391,
02SB004,1,1964/02/21,382,
02SB004,1,1964/02/22,357,
02SB004,1,1964/02/23,255,
02SB004,1,1964/02/24,436,
02SB004,1,1964/02/25,408,
02SB004,1,1964/02/26,362,
02SB004,1,1964/02/27,388,
02SB004,1,1964/02/28,396,
02SB004,1,1964/02/29,365,
02SB004,1,1964/03/01,269,
02SB004,1,1964/03/02,374,
02SB004,1,1964/03/03,402,
02SB004,1,1964/03/04,391,
02SB004,1,1964/03/05,351,
02SB004,1,1964/03/06,314,
02SB004,1,1964/03/07,320,
02SB004,1,1964/03/08,181,
02SB004,1,1964/03/09,402,
02SB004,1,1964/03/10,399,
02SB004,1,1964/03/11,371,
02SB004,1,1964/03/12,402,
