"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-08-01 00:00","2010","08","01","00:00"," ","15.1","","10.5","","74","","","","0","","25.0","","101.15","","","","","","Clear"
"2010-08-01 01:00","2010","08","01","01:00"," ","15.7","","12.1","","79","","1","","7","","25.0","","101.16","","","","","","Clear"
"2010-08-01 02:00","2010","08","01","02:00"," ","15.4","","10.0","","70","","35","","6","","25.0","","101.19","","","","","","Clear"
"2010-08-01 03:00","2010","08","01","03:00"," ","15.3","","10.2","","72","","2","","4","","25.0","","101.20","","","","","","Clear"
"2010-08-01 04:00","2010","08","01","04:00"," ","14.1","","10.4","","78","","1","","6","","25.0","","101.23","","","","","","Clear"
"2010-08-01 05:00","2010","08","01","05:00"," ","13.8","","10.4","","80","","1","","7","","25.0","","101.26","","","","","","Clear"
"2010-08-01 06:00","2010","08","01","06:00"," ","14.9","","11.8","","82","","35","","7","","24.1","","101.32","","","","","","Mainly Clear"
"2010-08-01 07:00","2010","08","01","07:00"," ","16.9","","12.4","","75","","3","","9","","48.3","","101.37","","","","","","Mainly Clear"
"2010-08-01 08:00","2010","08","01","08:00"," ","18.6","","12.7","","69","","4","","9","","48.3","","101.38","","","","","","Mainly Clear"
"2010-08-01 09:00","2010","08","01","09:00"," ","21.5","","13.7","","61","","5","","9","","48.3","","101.36","","25","","","","Mainly Clear"
"2010-08-01 10:00","2010","08","01","10:00"," ","22.9","","13.9","","57","","8","","7","","48.3","","101.32","","26","","","","Clear"
"2010-08-01 11:00","2010","08","01","11:00"," ","23.7","","13.0","","51","","12","","11","","48.3","","101.29","","26","","","","Mainly Clear"
"2010-08-01 12:00","2010","08","01","12:00"," ","24.5","","13.4","","50","","13","","17","","48.3","","101.28","","28","","","","Mainly Clear"
"2010-08-01 13:00","2010","08","01","13:00"," ","25.3","","13.9","","49","","13","","9","","48.3","","101.24","","29","","","","Mostly Cloudy"
"2010-08-01 14:00","2010","08","01","14:00"," ","25.5","","12.5","","44","","17","","13","","48.3","","101.21","","28","","","","Mostly Cloudy"
"2010-08-01 15:00","2010","08","01","15:00"," ","25.9","","11.7","","41","","15","","13","","48.3","","101.20","","28","","","","Mostly Cloudy"
"2010-08-01 16:00","2010","08","01","16:00"," ","25.8","","12.0","","42","","18","","7","","48.3","","101.19","","28","","","","Mostly Cloudy"
"2010-08-01 17:00","2010","08","01","17:00"," ","25.6","","11.9","","42","","12","","11","","48.3","","101.17","","28","","","","Mostly Cloudy"
"2010-08-01 18:00","2010","08","01","18:00"," ","24.2","","13.0","","50","","14","","13","","48.3","","101.14","","27","","","","Mostly Cloudy"
"2010-08-01 19:00","2010","08","01","19:00"," ","23.9","","13.1","","51","","15","","11","","48.3","","101.14","","27","","","","Cloudy"
"2010-08-01 20:00","2010","08","01","20:00"," ","23.6","","12.0","","48","","11","","7","","48.3","","101.18","","26","","","","Mostly Cloudy"
"2010-08-01 21:00","2010","08","01","21:00"," ","24.1","","12.0","","47","","10","","6","","25.0","","101.21","","26","","","","Mainly Clear"
"2010-08-01 22:00","2010","08","01","22:00"," ","24.0","","12.5","","49","","9","","7","","25.0","","101.20","","27","","","","Mostly Cloudy"
"2010-08-01 23:00","2010","08","01","23:00"," ","23.3","","12.9","","52","","9","","9","","25.0","","101.20","","26","","","","Mostly Cloudy"
"2010-08-02 00:00","2010","08","02","00:00"," ","22.5","","13.1","","55","","9","","4","","25.0","","101.20","","25","","","","Mainly Clear"
"2010-08-02 01:00","2010","08","02","01:00"," ","20.0","","14.6","","71","","15","","7","","25.0","","101.20","","","","","","Mainly Clear"
"2010-08-02 02:00","2010","08","02","02:00"," ","18.9","","14.3","","75","","","","0","","25.0","","101.19","","","","","","Mainly Clear"
"2010-08-02 03:00","2010","08","02","03:00"," ","18.1","","15.6","","85","","16","","9","","25.0","","101.21","","","","","","Mainly Clear"
"2010-08-02 04:00","2010","08","02","04:00"," ","16.6","","14.9","","90","","32","","4","","24.1","","101.26","","","","","","Mainly Clear"
"2010-08-02 05:00","2010","08","02","05:00"," ","16.6","","14.4","","87","","","","0","","24.1","","101.31","","","","","","Mostly Cloudy"
"2010-08-02 06:00","2010","08","02","06:00"," ","19.0","","15.4","","80","","","","0","","24.1","","101.37","","","","","","Mostly Cloudy"
"2010-08-02 07:00","2010","08","02","07:00"," ","20.9","","16.4","","75","","","","0","","24.1","","101.39","","26","","","","Mostly Cloudy"
"2010-08-02 08:00","2010","08","02","08:00"," ","21.5","","16.7","","74","","25","","7","","24.1","","101.39","","27","","","","Mostly Cloudy"
"2010-08-02 09:00","2010","08","02","09:00"," ","22.2","","17.4","","74","","14","","4","","24.1","","101.35","","28","","","","Mostly Cloudy"
"2010-08-02 10:00","2010","08","02","10:00"," ","23.6","","18.0","","71","","13","","6","","24.1","","101.31","","30","","","","Mainly Clear"
"2010-08-02 11:00","2010","08","02","11:00"," ","24.9","","17.8","","65","","22","","11","","24.1","","101.28","","31","","","","Mainly Clear"
"2010-08-02 12:00","2010","08","02","12:00"," ","26.5","","19.1","","64","","24","","6","","24.1","","101.23","","33","","","","Mostly Cloudy"
"2010-08-02 13:00","2010","08","02","13:00"," ","26.9","","19.3","","63","","23","","9","","24.1","","101.18","","34","","","","Mostly Cloudy"
"2010-08-02 14:00","2010","08","02","14:00"," ","27.3","","18.8","","60","","19","","9","","24.1","","101.15","","34","","","","Mostly Cloudy"
"2010-08-02 15:00","2010","08","02","15:00"," ","26.5","","19.8","","67","","16","","19","","24.1","","101.12","","34","","","","Mostly Cloudy"
"2010-08-02 16:00","2010","08","02","16:00"," ","26.1","","19.8","","68","","16","","15","","24.1","","101.08","","34","","","","Cloudy"
"2010-08-02 17:00","2010","08","02","17:00"," ","25.0","","18.7","","68","","16","","17","","24.1","","101.08","","32","","","","Cloudy"
"2010-08-02 18:00","2010","08","02","18:00"," ","23.2","","18.2","","73","","18","","20","","19.3","","101.07","","29","","","","Thunderstorms"
"2010-08-02 19:00","2010","08","02","19:00"," ","20.3","","18.3","","88","","20","","15","","16.1","","101.17","","27","","","","Thunderstorms,Rain Showers"
"2010-08-02 20:00","2010","08","02","20:00"," ","20.1","","18.9","","93","","14","","15","","25.0","","101.17","","27","","","","Rain Showers"
"2010-08-02 21:00","2010","08","02","21:00"," ","20.5","","18.8","","90","","16","","13","","25.0","","101.18","","27","","","","Cloudy"
"2010-08-02 22:00","2010","08","02","22:00"," ","20.4","","18.5","","89","","18","","9","","25.0","","101.17","","27","","","","Cloudy"
"2010-08-02 23:00","2010","08","02","23:00"," ","20.0","","18.4","","91","","15","","9","","25.0","","101.12","","26","","","","Cloudy"
"2010-08-03 00:00","2010","08","03","00:00"," ","20.2","","18.8","","92","","17","","6","","25.0","","101.09","","27","","","","Cloudy"
"2010-08-03 01:00","2010","08","03","01:00"," ","20.3","","19.3","","94","","15","","7","","12.9","","101.10","","27","","","","Rain Showers"
"2010-08-03 02:00","2010","08","03","02:00"," ","20.0","","19.3","","96","","18","","7","","19.3","","101.05","","27","","","","Rain Showers"
"2010-08-03 03:00","2010","08","03","03:00"," ","20.1","","19.2","","95","","19","","9","","16.1","","101.05","","27","","","","Rain"
"2010-08-03 04:00","2010","08","03","04:00"," ","20.0","","19.3","","96","","14","","9","","9.7","","101.06","","27","","","","Rain"
"2010-08-03 05:00","2010","08","03","05:00"," ","20.2","","19.2","","94","","16","","15","","12.9","","101.04","","27","","","","Cloudy"
"2010-08-03 06:00","2010","08","03","06:00"," ","20.3","","19.3","","94","","15","","19","","19.3","","100.99","","27","","","","Cloudy"
"2010-08-03 07:00","2010","08","03","07:00"," ","20.4","","19.6","","95","","17","","17","","9.7","","101.01","","28","","","","Thunderstorms,Rain Showers"
"2010-08-03 08:00","2010","08","03","08:00"," ","20.4","","19.8","","96","","12","","7","","9.7","","101.02","","28","","","","Thunderstorms,Rain Showers"
"2010-08-03 09:00","2010","08","03","09:00"," ","21.7","","20.6","","93","","16","","11","","16.1","","101.02","","30","","","","Cloudy"
"2010-08-03 10:00","2010","08","03","10:00"," ","22.6","","21.1","","91","","17","","11","","12.9","","100.99","","31","","","","Cloudy"
"2010-08-03 11:00","2010","08","03","11:00"," ","23.1","","21.0","","88","","20","","17","","12.9","","100.95","","32","","","","Cloudy"
"2010-08-03 12:00","2010","08","03","12:00"," ","23.5","","21.4","","88","","16","","13","","12.9","","100.88","","32","","","","Cloudy"
"2010-08-03 13:00","2010","08","03","13:00"," ","24.1","","21.2","","84","","14","","13","","16.1","","100.80","","33","","","","Mostly Cloudy"
"2010-08-03 14:00","2010","08","03","14:00"," ","24.5","","21.6","","84","","16","","15","","12.9","","100.74","","33","","","","Cloudy"
"2010-08-03 15:00","2010","08","03","15:00"," ","24.1","","21.9","","88","","14","","17","","9.7","","100.65","","33","","","","Thunderstorms,Rain Showers,Fog"
"2010-08-03 16:00","2010","08","03","16:00"," ","23.7","","22.0","","90","","","","0","","6.4","","100.71","","33","","","","Thunderstorms,Rain Showers,Fog"
"2010-08-03 17:00","2010","08","03","17:00"," ","21.8","","20.2","","91","","29","","4","","6.4","","100.67","","30","","","","Rain Showers,Fog"
"2010-08-03 18:00","2010","08","03","18:00"," ","21.9","","20.8","","93","","22","","7","","9.7","","100.66","","30","","","","Rain Showers,Fog"
"2010-08-03 19:00","2010","08","03","19:00"," ","22.2","","21.3","","95","","19","","13","","12.9","","100.59","","31","","","","Rain Showers"
"2010-08-03 20:00","2010","08","03","20:00"," ","22.3","","21.3","","94","","","","0","","4.8","","100.59","","31","","","","Rain,Fog"
"2010-08-03 21:00","2010","08","03","21:00"," ","22.2","","21.3","","95","","33","","13","","6.4","","100.59","","31","","","","Thunderstorms,Rain Showers"
"2010-08-03 22:00","2010","08","03","22:00"," ","22.3","","21.2","","93","","24","","7","","6.4","","100.53","","31","","","","Thunderstorms,Rain Showers"
"2010-08-03 23:00","2010","08","03","23:00"," ","22.0","","20.8","","93","","25","","9","","12.9","","100.46","","30","","","","Mostly Cloudy"
"2010-08-04 00:00","2010","08","04","00:00"," ","22.5","","21.4","","94","","21","","13","","9.7","","100.43","","31","","","","Fog"
"2010-08-04 01:00","2010","08","04","01:00"," ","22.1","","21.0","","93","","23","","6","","9.7","","100.38","","31","","","","Fog"
"2010-08-04 02:00","2010","08","04","02:00"," ","21.6","","20.5","","93","","32","","7","","6.4","","100.40","","30","","","","Fog"
"2010-08-04 03:00","2010","08","04","03:00"," ","21.8","","20.5","","92","","20","","6","","12.9","","100.34","","30","","","","Cloudy"
"2010-08-04 04:00","2010","08","04","04:00"," ","22.1","","20.6","","91","","22","","9","","12.9","","100.31","","30","","","","Mostly Cloudy"
"2010-08-04 05:00","2010","08","04","05:00"," ","22.1","","20.6","","91","","25","","11","","4.0","","100.37","","30","","","","Fog"
"2010-08-04 06:00","2010","08","04","06:00"," ","22.1","","20.7","","92","","24","","15","","3.6","","100.40","","30","","","","Fog"
"2010-08-04 07:00","2010","08","04","07:00"," ","22.4","","20.8","","91","","25","","20","","4.8","","100.40","","31","","","","Fog"
"2010-08-04 08:00","2010","08","04","08:00"," ","23.2","","20.9","","87","","26","","15","","9.7","","100.38","","32","","","","Haze"
"2010-08-04 09:00","2010","08","04","09:00"," ","24.5","","21.3","","82","","25","","13","","12.9","","100.39","","33","","","","Cloudy"
"2010-08-04 10:00","2010","08","04","10:00"," ","25.5","","21.0","","76","","24","","17","","12.9","","100.35","","34","","","","Cloudy"
"2010-08-04 11:00","2010","08","04","11:00"," ","27.2","","21.9","","73","","26","","22","","16.1","","100.30","","36","","","","Mostly Cloudy"
"2010-08-04 12:00","2010","08","04","12:00"," ","28.3","","22.4","","70","","23","","19","","16.1","","100.24","","38","","","","Mostly Cloudy"
"2010-08-04 13:00","2010","08","04","13:00"," ","28.4","","22.5","","70","","22","","22","","16.1","","100.16","","38","","","","Mostly Cloudy"
"2010-08-04 14:00","2010","08","04","14:00"," ","25.7","","22.9","","85","","24","","22","","12.9","","100.17","","36","","","","Thunderstorms,Rain Showers"
"2010-08-04 15:00","2010","08","04","15:00"," ","22.8","","21.3","","91","","23","","32","","6.4","","100.18","","31","","","","Thunderstorms,Moderate Rain Showers"
"2010-08-04 16:00","2010","08","04","16:00"," ","23.1","","19.9","","82","","22","","20","","24.1","","100.13","","31","","","","Mostly Cloudy"
"2010-08-04 17:00","2010","08","04","17:00"," ","22.1","","20.7","","92","","28","","6","","12.9","","100.12","","30","","","","Thunderstorms,Rain Showers"
"2010-08-04 18:00","2010","08","04","18:00"," ","22.5","","20.6","","89","","24","","6","","24.1","","99.98","","31","","","","Mostly Cloudy"
"2010-08-04 19:00","2010","08","04","19:00"," ","23.3","","21.3","","89","","23","","17","","24.1","","100.00","","32","","","","Mostly Cloudy"
"2010-08-04 20:00","2010","08","04","20:00"," ","23.0","","20.4","","85","","23","","11","","24.1","","100.02","","31","","","","Mostly Cloudy"
"2010-08-04 21:00","2010","08","04","21:00"," ","22.6","","20.3","","87","","23","","9","","25.0","","100.00","","30","","","","Clear"
"2010-08-04 22:00","2010","08","04","22:00"," ","21.9","","20.2","","90","","","","0","","25.0","","99.98","","30","","","","Mainly Clear"
"2010-08-04 23:00","2010","08","04","23:00"," ","23.1","","20.4","","85","","25","","6","","25.0","","99.94","","31","","","","Mainly Clear"
"2010-08-05 00:00","2010","08","05","00:00"," ","20.8","","19.6","","93","","","","0","","25.0","","99.94","","28","","","","Mainly Clear"
"2010-08-05 01:00","2010","08","05","01:00"," ","22.1","","20.6","","91","","21","","11","","25.0","","99.89","","30","","","","Mostly Cloudy"
"2010-08-05 02:00","2010","08","05","02:00"," ","23.1","","21.1","","89","","23","","15","","12.9","","99.86","","32","","","","Cloudy"
