"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2008-08-01 00:00","2008","08","01","00:00"," ","20.1","","17.9","","87","","25","","7","","25.0","","99.80","","26","","","","Mostly Cloudy"
"2008-08-01 01:00","2008","08","01","01:00"," ","20.0","","17.7","","87","","25","","9","","25.0","","99.79","","26","","","","Mainly Clear"
"2008-08-01 02:00","2008","08","01","02:00"," ","18.4","","16.9","","91","","27","","6","","25.0","","99.82","","","","","","Mainly Clear"
"2008-08-01 03:00","2008","08","01","03:00"," ","18.1","","16.7","","92","","27","","7","","25.0","","99.85","","","","","","Mainly Clear"
"2008-08-01 04:00","2008","08","01","04:00"," ","18.4","","17.0","","92","","","","0","","25.0","","99.87","","","","","","Mainly Clear"
"2008-08-01 05:00","2008","08","01","05:00"," ","18.3","","16.8","","91","","24","","9","","16.1","","99.91","","","","","","Mostly Cloudy"
"2008-08-01 06:00","2008","08","01","06:00"," ","18.1","","16.6","","91","","26","","6","","16.1","","99.96","","","","","","Mostly Cloudy"
"2008-08-01 07:00","2008","08","01","07:00"," ","19.1","","16.9","","87","","26","","9","","19.3","","99.99","","","","","","Mostly Cloudy"
"2008-08-01 08:00","2008","08","01","08:00"," ","19.8","","17.2","","85","","26","","11","","19.3","","100.00","","","","","","Cloudy"
"2008-08-01 09:00","2008","08","01","09:00"," ","20.2","","17.7","","86","","28","","9","","16.1","","99.99","","26","","","","Cloudy"
