Rapide-des-Cœurs 	Run of river 	79 	6 	22.69 	2008–2009 	n/a 	Saint-Maurice 	47°47'21?N 73°22'40?W
Grand-Mère 	Run of river 	67 	4 	25.61 	1915–1930 	n/a 	Saint-Maurice 	46°36'55?N 72°40'33?W
Rapide-2 	Run of river 	67 	4 	20.43 	1954–1964 	n/a 	Ottawa 	47°56'01?N 78°34'34?W
Rapide-7 	Reservoir 	67 	4 	20.73 	1941–1949 	Decelles Lake 	Ottawa 	47°46'08?N 78°18'46?W
Chute-Allard 	Run of river 	62 	6 	17.83 	2008 	n/a 	Saint-Maurice 	47°54'15?N 73°47'57?W
Bryson 	Run of river 	56 	3 	18.29 	1925 	n/a 	Ottawa 	45°39'40?N 76°37'52?W
Mercier 	Reservoir 	55 	5 	18 	2007 	Baskatong Reservoir 	Gatineau 	46°43'03?N 75°59'00?W
Rivière-des-Prairies 	Run of river 	54 	6 	7.93 	1929 	n/a 	Rivière des Prairies 	45°35'22?N 73°39'26?W
Hart-Jaune 	Reservoir 	51 	3 	39.6 	1960 	Petit-Lac-Manicouagan Reservoir 	Hart-Jaune 	51°47'06?N 67°54'46?W
Chute-Hemmings 	Run of river 	29 	6 	14.64 	1925 	n/a 	Saint-François 	45°51'45?N 72°27'03?W
Hull-2 	Run of river 	27 	4 	11.58 	1920–1969 	n/a 	Ottawa 	45°25'20?N 75°43'17?W
Sept-Chutes 	Run of river 	22 	4 	124.97 	1916–1999 	n/a 	Sainte-Anne 	47°07'31?N 70°48'57?W
Lac-Robertson[note 2] 	Reservoir 	21 	2 	38.5 	1995 	Robertson Lake 	Veco 	50°59'56?N 59°03'42?W
Drummondville 	Run of river 	16 	4 	9.1 	1910 	n/a 	Saint-François 	45°53'13?N 72°29'02?W
Saint-Narcisse 	Run of river 	15 	2 	44.81 	1926 	n/a 	Batiscan 	46°32'53?N 72°24'38?W
Chute-Bell 	Run of river 	10 	2 	17.8 	1915–1999 	n/a 	Rouge 	45°46'26?N 74°41'09?W
Mitis-1 	Run of river 	6 	2 	36.58 	1922–1929 	n/a 	Mitis 	48°36'13?N 68°08'19?W
Mitis-2 	Run of river 	4 	1 	22.86 	1947 	n/a 	Mitis 	48°37'19?N 68°08'19?W
Chute-Burroughs 	Run of river 	2 	1 	55.17 	1929 	n/a 	Niger 	45°08'47?N 72°01'08?W
